,genres,level_0
347,Adventure|Comedy,"[u'Year One\xc2' u'Rat Race\xc2' u'Vacation\xc2'
 u'Ace Ventura: When Nature Calls\xc2' u'My Fellow Americans\xc2'
 u'Epic Movie\xc2' u'A Very Harold & Kumar 3D Christmas\xc2'
 u'Strange Wilderness\xc2' u'Troop Beverly Hills\xc2'
 u""National Lampoon's Vacation\xc2"" u'Fun Size\xc2'
 u'Harold & Kumar Escape from Guantanamo Bay\xc2'
 u'Harold & Kumar Go to White Castle\xc2' u'Crocodile Dundee\xc2']"
348,Adventure|Comedy|Crime,[u'Crocodile Dundee in Los Angeles\xc2']
349,Adventure|Comedy|Crime|Drama,[u'The Grand Budapest Hotel\xc2']
350,Adventure|Comedy|Crime|Drama|Family,"[u""Baby's Day Out\xc2""]"
351,Adventure|Comedy|Crime|Family|Musical,[u'Muppets Most Wanted\xc2']
352,Adventure|Comedy|Crime|Family|Mystery,[u'The Pink Panther\xc2']
353,Adventure|Comedy|Crime|Music,"[u'O Brother, Where Art Thou?\xc2']"
354,Adventure|Comedy|Crime|Romance,[u'The Mexican\xc2']
355,Adventure|Comedy|Drama,"[u'The Life Aquatic with Steve Zissou\xc2' u'The Bucket List\xc2'
 u'Last Holiday\xc2' u'Fear and Loathing in Las Vegas\xc2' u'Joe Dirt\xc2'
 u'Nebraska\xc2' u'Grand Theft Parsons\xc2' u'Transamerica\xc2']"
356,Adventure|Comedy|Drama|Family,[u'The Adventures of Huck Finn\xc2']
357,Adventure|Comedy|Drama|Family|Fantasy,"[u'Mirror Mirror\xc2' u'Babe: Pig in the City\xc2'
 u'Thomas and the Magic Railroad\xc2']"
358,Adventure|Comedy|Drama|Family|Mystery,[u'Holes\xc2']
359,Adventure|Comedy|Drama|Family|Romance,[u'Beverly Hills Chihuahua\xc2']
360,Adventure|Comedy|Drama|Family|Sport,[u'Racing Stripes\xc2']
361,Adventure|Comedy|Drama|Fantasy,[u'Ladyhawke\xc2' u'Dogma\xc2']
362,Adventure|Comedy|Drama|Fantasy|Musical,[u'Into the Woods\xc2']
363,Adventure|Comedy|Drama|Fantasy|Romance,[u'The Secret Life of Walter Mitty\xc2']
364,Adventure|Comedy|Drama|Music,[u'Almost Famous\xc2']
365,Adventure|Comedy|Drama|Romance,"[u'The Brothers Bloom\xc2' u'Sideways\xc2' u'Moonrise Kingdom\xc2'
 u'Y Tu Mam\xc3\xa1 Tambi\xc3\xa9n\xc2']"
366,Adventure|Comedy|Drama|Romance|Sci-Fi,[u'Seeking a Friend for the End of the World\xc2']
367,Adventure|Comedy|Drama|Romance|Thriller|War,[u'The Hunting Party\xc2']
368,Adventure|Comedy|Family,"[u'102 Dalmatians\xc2' u'Cheaper by the Dozen 2\xc2'
 u'Home Alone 2: Lost in New York\xc2' u'Big Fat Liar\xc2' u'Hoot\xc2'
 u'Snow Day\xc2' u'Batman: The Movie\xc2']"
369,Adventure|Comedy|Family|Fantasy,"[u'Charlie and the Chocolate Factory\xc2'
 u'Night at the Museum: Battle of the Smithsonian\xc2'
 u'Night at the Museum: Secret of the Tomb\xc2'
 u'Asterix at the Olympic Games\xc2' u""Gulliver's Travels\xc2""
 u'The Cat in the Hat\xc2' u'Stuart Little\xc2' u'Hook\xc2'
 u""Nim's Island\xc2"" u'The Borrowers\xc2' u'The Little Vampire\xc2'
 u'Ramona and Beezus\xc2']"
370,Adventure|Comedy|Family|Fantasy|Horror,[u'Goosebumps\xc2']
371,Adventure|Comedy|Family|Fantasy|Horror|Mystery,[u'Scooby-Doo 2: Monsters Unleashed\xc2']
372,Adventure|Comedy|Family|Fantasy|Musical,[u'The Adventures of Elmo in Grouchland\xc2']
373,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,[u'Muppets from Space\xc2']
374,Adventure|Comedy|Family|Fantasy|Romance|Sport,[u'Herbie Fully Loaded\xc2']
375,Adventure|Comedy|Family|Fantasy|Sci-Fi,[u'Aliens in the Attic\xc2' u'Super Mario Bros.\xc2']
376,Adventure|Comedy|Family|Musical,[u'The Muppets\xc2' u'The Muppet Movie\xc2']
377,Adventure|Comedy|Family|Music|Romance,[u'The Lizzie McGuire Movie\xc2']
378,Adventure|Comedy|Family|Mystery|Sci-Fi,[u'Men in Black\xc2']
379,Adventure|Comedy|Family|Romance,[u'Unaccompanied Minors\xc2' u'Are We There Yet?\xc2' u'Monte Carlo\xc2']
380,Adventure|Comedy|Family|Romance|Sci-Fi,[u'Meet Dave\xc2']
381,Adventure|Comedy|Family|Sci-Fi,[u'Sky High\xc2']
382,Adventure|Comedy|Family|Sport,[u'Snow Dogs\xc2' u'Cool Runnings\xc2']
383,Adventure|Comedy|Fantasy,"[u'Your Highness\xc2' u'Black Knight\xc2'
 u'Monty Python and the Holy Grail\xc2']"
384,Adventure|Comedy|Fantasy|Music|Sci-Fi,"[u""Bill & Ted's Bogus Journey\xc2""]"
385,Adventure|Comedy|Fantasy|Sci-Fi,[u'Time Bandits\xc2' u'Barbarella\xc2']
386,Adventure|Comedy|History,[u'Tom Jones\xc2']
387,Adventure|Comedy|History|Romance,[u'Virgin Territory\xc2']
388,Adventure|Comedy|Horror,[u'Incident at Loch Ness\xc2']
389,Adventure|Comedy|Horror|Sci-Fi,[u'Zombieland\xc2']
390,Adventure|Comedy|Musical|Romance,[u'The Pirate\xc2']
391,Adventure|Comedy|Music|Sci-Fi,"[u""Bill & Ted's Excellent Adventure\xc2""]"
392,Adventure|Comedy|Mystery,[u'Scooby-Doo\xc2' u'Without a Paddle\xc2']
393,Adventure|Comedy|Romance,"[u'Sex Drive\xc2' u""Donovan's Reef\xc2""]"
394,Adventure|Comedy|Romance|Sci-Fi,[u'Bubble Boy\xc2']
395,Adventure|Comedy|Sci-Fi,"[u'Land of the Lost\xc2' u'Galaxy Quest\xc2'
 u""The Hitchhiker's Guide to the Galaxy\xc2""
 u'Back to the Future Part II\xc2' u'Paul\xc2'
 u'Star Trek IV: The Voyage Home\xc2' u'Spaceballs\xc2'
 u'Back to the Future\xc2' u'Gentlemen Broncos\xc2' u'Spaced Invaders\xc2'
 u'Idiocracy\xc2']"
396,Adventure|Comedy|Sci-Fi|Western,[u'Back to the Future Part III\xc2']
397,Adventure|Comedy|Sport,[u'Airborne\xc2']
398,Adventure|Comedy|Western,[u'Saving Private Perez\xc2']
399,Adventure|Crime|Drama,[u'Iguana\xc2']
400,Adventure|Crime|Drama|Mystery|Thriller,[u'Trash\xc2']
401,Adventure|Crime|Drama|Mystery|Western,[u'Three Burials\xc2']
402,Adventure|Crime|Drama|Romance,[u'Shanghai Surprise\xc2']
403,Adventure|Crime|Drama|Thriller,[u'The Great Train Robbery\xc2']
404,Adventure|Crime|Drama|Western,[u'3:10 to Yuma\xc2']
405,Adventure|Crime|Mystery|Sci-Fi|Thriller,[u'Nerve\xc2']
406,Adventure|Crime|Thriller,[u'The Pursuit of D.B. Cooper\xc2']
407,Adventure|Documentary,[u'Antarctic Edge: 70\xc2\xb0 South\xc2']
408,Adventure|Documentary|Drama|Sport,[u'Touching the Void\xc2']
409,Adventure|Documentary|Short,[u'Dolphins and Whales 3D: Tribes of the Ocean\xc2']
410,Adventure|Drama,"[u'White Squall\xc2' u'The Road\xc2' u'On the Road\xc2'
 u""Everybody's Fine\xc2"" u'White Fang\xc2' u'The Blue Butterfly\xc2'
 u'End of the Spear\xc2' u'Stand by Me\xc2' u'The Wicked Lady\xc2'
 u'Moby Dick\xc2' u'The Geographer Drank His Globe Away\xc2'
 u'Travelers and Magicians\xc2' u'Under the Same Moon\xc2']"
411,Adventure|Drama|Family,[u'Two Brothers\xc2' u'Eight Below\xc2' u'Flicka\xc2' u'Duma\xc2']
412,Adventure|Drama|Family|Fantasy,"[u'The Jungle Book\xc2' u'Where the Wild Things Are\xc2'
 u'The NeverEnding Story\xc2' u'Bridge to Terabithia\xc2']"
413,Adventure|Drama|Family|Fantasy|Sci-Fi,"[u'20,000 Leagues Under the Sea\xc2']"
414,Adventure|Drama|Family|Mystery,[u'Hugo\xc2']
415,Adventure|Drama|Family|Romance|Western,[u'The Man from Snowy River\xc2']
416,Adventure|Drama|Fantasy,[u'Life of Pi\xc2' u'Big Fish\xc2' u'The Clan of the Cave Bear\xc2']
417,Adventure|Drama|Fantasy|Mystery,[u'Preacher\xc2']
418,Adventure|Drama|Fantasy|Mystery|Thriller,[u'Sleepy Hollow\xc2']
419,Adventure|Drama|Fantasy|Romance,"[u'The Twilight Saga: Breaking Dawn - Part 2\xc2'
 u'The Twilight Saga: Eclipse\xc2' u'The Twilight Saga: New Moon\xc2']"
420,Adventure|Drama|Fantasy|Thriller|Western,[u'Western Religion\xc2']
421,Adventure|Drama|History,"[u'Ben-Hur\xc2' u'Apollo 13\xc2' u'A Passage to India\xc2'
 u'The Right Stuff\xc2' u'Quest for Fire\xc2']"
422,Adventure|Drama|History|Romance,[u'Agora\xc2']
423,Adventure|Drama|History|Romance|Thriller|War,[u'Captain Alatriste: The Spanish Musketeer\xc2']
424,Adventure|Drama|History|Romance|War,[u'Cold Mountain\xc2']
425,Adventure|Drama|History|Thriller|War,[u'The Great Escape\xc2']
426,Adventure|Drama|History|War,[u'Barry Lyndon\xc2']
427,Adventure|Drama|Horror|Mystery|Thriller,[u'Silent Hill: Revelation 3D\xc2']
428,Adventure|Drama|Horror|Thriller,[u'The Ghost and the Darkness\xc2']
429,Adventure|Drama|Mystery,[u'Extremely Loud & Incredibly Close\xc2' u'Gerry\xc2']
430,Adventure|Drama|Mystery|Sci-Fi|Thriller,[u'12 Monkeys\xc2']
431,Adventure|Drama|Romance,"[u'Cast Away\xc2' u'Medicine Man\xc2' u'I Dreamed of Africa\xc2'
 u'The Prisoner of Zenda\xc2' u'Return to the Blue Lagoon\xc2'
 u'Robin and Marian\xc2' u'Tycoon\xc2' u'The Blue Lagoon\xc2']"
432,Adventure|Drama|Romance|War,"[u'Australia\xc2' u'Beyond Borders\xc2' u'The Four Feathers\xc2'
 u'The Horseman on the Roof\xc2' u'March or Die\xc2']"
433,Adventure|Drama|Romance|Western,[u'Boom Town\xc2']
434,Adventure|Drama|Sci-Fi,"[u'Interstellar\xc2' u'The Martian\xc2'
 u'A.I. Artificial Intelligence\xc2' u'The Astronaut Farmer\xc2']"
435,Adventure|Drama|Sci-Fi|Thriller,"[u'Gravity\xc2' u'The Hunger Games\xc2' u'The Abyss\xc2'
 u'Midnight Special\xc2']"
436,Adventure|Drama|Thriller,"[u'Blood Diamond\xc2' u'The Beach\xc2' u'Sanctum\xc2' u'Sorcerer\xc2'
 u'Jaws\xc2' u'My Name Is Khan\xc2' u'Limbo\xc2']"
437,Adventure|Drama|Thriller|War,[u'Das Boot\xc2']
438,Adventure|Drama|Thriller|Western,[u'The Revenant\xc2']
439,Adventure|Drama|War,[u'Inglourious Basterds\xc2' u'The Bridge on the River Kwai\xc2']
440,Adventure|Drama|Western,"[u""Heaven's Gate\xc2"" u'True Grit\xc2' u'Dances with Wolves\xc2'
 u'The Timber\xc2']"
441,Adventure|Family,"[u'Flipper\xc2' u'Max\xc2' u""Barney's Great Adventure\xc2""
 u'Shipwrecked\xc2' u'Against the Wild\xc2']"
442,Adventure|Family|Fantasy,"[u'The Golden Compass\xc2' u'Alice in Wonderland\xc2'
 u'Oz the Great and Powerful\xc2'
 u'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe\xc2'
 u'Alice Through the Looking Glass\xc2'
 u'The Chronicles of Narnia: The Voyage of the Dawn Treader\xc2'
 u'Pan\xc2' u'The BFG\xc2' u""Harry Potter and the Sorcerer's Stone\xc2""
 u'The Spiderwick Chronicles\xc2'
 u'Percy Jackson & the Olympians: The Lightning Thief\xc2'
 u'Percy Jackson: Sea of Monsters\xc2' u'Inkheart\xc2'
 u'The Adventurer: The Curse of the Midas Box\xc2' u""Pete's Dragon\xc2""
 u'The Lost Medallion: The Adventures of Billy Stone\xc2']"
443,Adventure|Family|Fantasy|Horror|Mystery,[u'Return to Oz\xc2']
444,Adventure|Family|Fantasy|Musical,"[u'The Adventures of Pinocchio\xc2'
 u'The Oogieloves in the Big Balloon Adventure\xc2'
 u'The Wizard of Oz\xc2']"
445,Adventure|Family|Fantasy|Music|Musical,[u'The Wiz\xc2']
446,Adventure|Family|Fantasy|Mystery,"[u'Harry Potter and the Half-Blood Prince\xc2'
 u'Harry Potter and the Order of the Phoenix\xc2'
 u'Harry Potter and the Goblet of Fire\xc2'
 u'Harry Potter and the Prisoner of Azkaban\xc2'
 u'Harry Potter and the Chamber of Secrets\xc2']"
447,Adventure|Family|Fantasy|Romance,[u'Stardust\xc2' u'The Princess Bride\xc2']
448,Adventure|Family|Fantasy|Sci-Fi,[u'City of Ember\xc2']
449,Adventure|Family|Romance,[u'Benji\xc2']
450,Adventure|Family|Sci-Fi,[u'Earth to Echo\xc2']
451,Adventure|Family|Sport,[u'The Black Stallion\xc2']
452,Adventure|Fantasy,"[u'The Hobbit: The Battle of the Five Armies\xc2'
 u'The Hobbit: The Desolation of Smaug\xc2' u'Jack the Giant Slayer\xc2'
 u'The Hobbit: An Unexpected Journey\xc2' u'Conan the Barbarian\xc2'
 u'Sheena\xc2' u'Mirrormask\xc2' u'The Barbarians\xc2']"
453,Adventure|Fantasy|Horror|Mystery|Thriller,[u'Book of Shadows: Blair Witch 2\xc2']
454,Adventure|Fantasy|Mystery,[u'The Imaginarium of Doctor Parnassus\xc2']
455,Adventure|Fantasy|Mystery|Thriller,[u'Viy\xc2' u'Young Sherlock Holmes\xc2']
456,Adventure|Fantasy|Thriller,[u'The Hole\xc2']
457,Adventure|Horror,"[u'Friday the 13th Part VIII: Jason Takes Manhattan\xc2'
 u'The Green Inferno\xc2']"
458,Adventure|Horror|Mystery,[u'Silent Hill\xc2']
459,Adventure|Horror|Sci-Fi,"[u'The Beast from 20,000 Fathoms\xc2']"
460,Adventure|Horror|Thriller,"[u'The Cave\xc2' u'Jaws: The Revenge\xc2' u'Jaws 2\xc2' u'Roar\xc2'
 u'The Descent\xc2']"
461,Adventure|Mystery|Sci-Fi,"[u'Prometheus\xc2' u'Divergent\xc2' u'Star Trek: The Motion Picture\xc2'
 u'2001: A Space Odyssey\xc2']"
462,Adventure|Mystery|Thriller,[u'A Perfect Getaway\xc2' u'Sphinx\xc2']
463,Adventure|Sci-Fi,[u'The Hunger Games: Mockingjay - Part 2\xc2']
464,Adventure|Sci-Fi|Thriller,"[u'The Hunger Games: Catching Fire\xc2' u'War of the Worlds\xc2'
 u'The Hunger Games: Mockingjay - Part 1\xc2' u'Insurgent\xc2'
 u'Mission to Mars\xc2' u'Jurassic Park\xc2' u'Sunshine\xc2']"
465,Adventure|War|Western,[u'Major Dundee\xc2']
466,Animation,[u'Dwegons and Leprechauns\xc2' u'The Lion of Judah\xc2']
467,Animation|Biography|Documentary|Drama|History|War,[u'Waltz with Bashir\xc2']
468,Animation|Biography|Drama|War,[u'Persepolis\xc2']
469,Animation|Comedy,[u'Farce of the Penguins\xc2' u'Robot Chicken\xc2']
470,Animation|Comedy|Crime|Drama|Family,[u'Ernest & Celestine\xc2']
471,Animation|Comedy|Drama,[u'The Triplets of Belleville\xc2' u'Home Movies\xc2']
472,Animation|Comedy|Drama|Family|Musical,[u'The Tigger Movie\xc2']
473,Animation|Comedy|Drama|Fantasy|Sci-Fi,[u'I Married a Strange Person!\xc2']
474,Animation|Comedy|Drama|Romance,[u'Anomalisa\xc2']
475,Animation|Comedy|Family,"[u'The Secret Life of Pets\xc2' u'Despicable Me\xc2' u'Barnyard\xc2'
 u'Arthur\xc2' u'Hoodwinked Too! Hood vs. Evil\xc2' u'Animals United\xc2'
 u'Shaun the Sheep\xc2' u""Doug's 1st Movie\xc2""
 u'A Charlie Brown Christmas\xc2']"
476,Animation|Comedy|Family|Fantasy,"[u'Ratatouille\xc2' u'Hotel Transylvania\xc2' u'Hotel Transylvania 2\xc2'
 u'Garfield 2\xc2' u'Paddington\xc2' u'Garfield\xc2']"
477,Animation|Comedy|Family|Fantasy|Music,"[u'Alvin and the Chipmunks: The Squeakquel\xc2'
 u'Alvin and the Chipmunks\xc2']"
478,Animation|Comedy|Family|Fantasy|Musical,"[u""Cats Don't Dance\xc2"" u""Teacher's Pet\xc2""]"
479,Animation|Comedy|Family|Fantasy|Musical|Romance,[u'Enchanted\xc2']
480,Animation|Comedy|Family|Fantasy|Mystery,[u'Monster House\xc2']
481,Animation|Comedy|Family|Fantasy|Sci-Fi,[u'Cloudy with a Chance of Meatballs 2\xc2']
482,Animation|Comedy|Family|Horror|Sci-Fi,[u'Frankenweenie\xc2']
483,Animation|Comedy|Family|Musical,[u'Happy Feet 2\xc2']
484,Animation|Comedy|Family|Music|Romance,[u'Happy Feet\xc2']
485,Animation|Comedy|Family|Music|Western,[u'Home on the Range\xc2']
486,Animation|Comedy|Family|Mystery|Sci-Fi,"[u'The Curse of the Were-Rabbit\xc2' u""Recess: School's Out\xc2""]"
487,Animation|Comedy|Family|Romance,[u'Roadside Romeo\xc2']
488,Animation|Comedy|Family|Sci-Fi,[u'Cloudy with a Chance of Meatballs\xc2' u'Despicable Me 2\xc2']
489,Animation|Comedy|Family|Sport,"[u""Surf's Up\xc2""]"
490,Animation|Comedy|Fantasy,[u'Monkeybone\xc2']
491,Animation|Comedy|Fantasy|Musical,[u'South Park: Bigger Longer & Uncut\xc2']
492,Animation|Drama,[u'My Dog Tulip\xc2']
493,Animation|Drama|Family,[u'Bambi\xc2']
494,Animation|Drama|Family|Fantasy,[u'A Christmas Carol\xc2']
495,Animation|Drama|Family|Fantasy|Musical|Romance,[u'Corpse Bride\xc2']
496,Animation|Drama|Family|Musical|Romance,[u'The Hunchback of Notre Dame\xc2']
497,Animation|Drama|Mystery|Sci-Fi|Thriller,[u'A Scanner Darkly\xc2']
498,Animation|Family,[u'Top Cat Begins\xc2' u'Henry & Me\xc2']
499,Animation|Family|Fantasy,[u'Coraline\xc2']
500,Animation|Family|Fantasy|Music,[u'Fantasia 2000\xc2' u'Fantasia\xc2']
501,Animation|Family|Fantasy|Musical,[u'Pinocchio\xc2' u'Snow White and the Seven Dwarfs\xc2']
502,Animation|Family|Fantasy|Musical|Romance,[u'The Princess and the Frog\xc2']
503,Animation|Family|Fantasy|Mystery,"[u""Pooh's Heffalump Movie\xc2""]"
504,Biography,[u'Chiamatemi Francesco - Il Papa della gente\xc2']
505,Biography|Comedy|Crime|Drama,[u'The Wolf of Wall Street\xc2' u'Find Me Guilty\xc2' u'Casino Jack\xc2']
506,Biography|Comedy|Crime|Drama|Romance,[u'I Love You Phillip Morris\xc2']
507,Biography|Comedy|Crime|Drama|Romance|Thriller,[u'Confessions of a Dangerous Mind\xc2']
508,Biography|Comedy|Documentary,[u'Martin Lawrence Live: Runteldat\xc2']
509,Biography|Comedy|Drama,"[u'Joy\xc2' u'Man on the Moon\xc2' u'Riding in Cars with Boys\xc2'
 u'Ed Wood\xc2' u'American Splendor\xc2']"
510,Biography|Comedy|Drama|Family|Romance,[u'Red Dog\xc2']
511,Biography|Comedy|Drama|Family|Sport,[u'The Longshots\xc2']
512,Biography|Comedy|Drama|History,"[u""Charlie Wilson's War\xc2"" u'The Big Short\xc2' u'Made in Dagenham\xc2']"
513,Biography|Comedy|Drama|History|Music,[u'Saving Mr. Banks\xc2']
514,Biography|Comedy|Drama|History|Music|Musical,[u'Topsy-Turvy\xc2']
515,Biography|Comedy|Drama|Music,"[u""It's All Gone Pete Tong\xc2""]"
516,Biography|Comedy|Drama|Music|Romance,[u'Florence Foster Jenkins\xc2']
517,Biography|Comedy|Drama|Romance,[u'Patch Adams\xc2' u'The Sessions\xc2']
518,Biography|Comedy|Drama|Sport,[u'Eddie the Eagle\xc2']
519,Biography|Comedy|Drama|War,"[u'Good Morning, Vietnam\xc2']"
520,Biography|Comedy|Musical,"[u""Can't Stop the Music\xc2""]"
521,Biography|Comedy|Musical|Romance|Western,[u'Annie Get Your Gun\xc2']
522,Biography|Comedy|Romance,"[u""Isn't She Great\xc2"" u'20 Dates\xc2']"
523,Biography|Crime|Documentary|History,[u'The Act of Killing\xc2']
524,Biography|Crime|Documentary|History|Thriller,[u'Man on Wire\xc2']
525,Biography|Crime|Drama,"[u'American Gangster\xc2' u'Black Mass\xc2' u'Catch Me If You Can\xc2'
 u'Casino\xc2' u'Donnie Brasco\xc2' u'J. Edgar\xc2' u'Hoffa\xc2'
 u'Blow\xc2' u'Goodfellas\xc2' u'Freedom Writers\xc2' u'Infamous\xc2'
 u'The Iceman\xc2' u'Auto Focus\xc2' u'Escape from Alcatraz\xc2'
 u'Capote\xc2' u'Bully\xc2']"
526,Biography|Crime|Drama|History,[u'Spotlight\xc2' u'In Cold Blood\xc2']
527,Biography|Crime|Drama|History|Music,[u'Straight Outta Compton\xc2']
528,Biography|Crime|Drama|History|Romance,[u'Public Enemies\xc2']
529,Biography|Crime|Drama|History|Thriller,[u'Legend\xc2']
530,Biography|Crime|Drama|History|Western,[u'The Assassination of Jesse James by the Coward Robert Ford\xc2']
531,Biography|Crime|Drama|Music,"[u""Get Rich or Die Tryin'\xc2""]"
532,Biography|Crime|Drama|Mystery|Thriller,[u'Kill the Messenger\xc2']
533,Biography|Crime|Drama|Romance,"[u'Big Eyes\xc2' u""Boys Don't Cry\xc2""]"
534,Biography|Crime|Drama|Romance|Thriller,[u'Heavenly Creatures\xc2']
535,Biography|Crime|Drama|Thriller,"[u'The Infiltrator\xc2' u'Carlos\xc2' u'Veronica Guerin\xc2'
 u'Monster\xc2' u'Party Monster\xc2' u'Compliance\xc2']"
536,Biography|Crime|Drama|War,[u'Amen.\xc2']
537,Biography|Crime|Drama|Western,[u'Butch Cassidy and the Sundance Kid\xc2']
538,Biography|Documentary,[u'Tarnation\xc2' u'The Image Revolution\xc2']
539,Biography|Documentary|Drama,[u'Faith Connections\xc2']
540,Biography|Documentary|History,[u'Inside Deep Throat\xc2']
541,Biography|Documentary|Music,"[u'Shine a Light\xc2' u'Scott Walker: 30 Century Man\xc2'
 u'Tupac: Resurrection\xc2' u'The Past is a Grotesque Animal\xc2']"
542,Biography|Documentary|Sport,[u'Beyond the Mat\xc2']
543,Biography|Drama,"[u'The Aviator\xc2' u'A Beautiful Mind\xc2'
 u'The Pursuit of Happyness\xc2' u'Erin Brockovich\xc2'
 u'The Social Network\xc2' u'Men of Honor\xc2'
 u""Lee Daniels' The Butler\xc2"" u'Girl, Interrupted\xc2'
 u'Coco Before Chanel\xc2' u'Flash of Genius\xc2' u'Steve Jobs\xc2'
 u'The Queen\xc2' u'The Great Debaters\xc2' u'Pandaemonium\xc2'
 u'The Diving Bell and the Butterfly\xc2' u'Quills\xc2'
 u'Antwone Fisher\xc2' u'Philomena\xc2' u'Heaven Is for Real\xc2'
 u'Kinsey\xc2' u'My Week with Marilyn\xc2' u'The Straight Story\xc2'
 u'Rosewater\xc2' u'When Did You Last See Your Father?\xc2'
 u'Factory Girl\xc2' u'Nowhere in Africa\xc2' u'Pollock\xc2'
 u'The Elephant Man\xc2' u'Dallas Buyers Club\xc2' u'Mommie Dearest\xc2'
 u'The Last Time I Committed Suicide\xc2' u'Desert Dancer\xc2'
 u'Gods and Monsters\xc2' u'Basquiat\xc2' u'The Birth of a Nation\xc2']"
544,Biography|Drama|Family,[u'Finding Neverland\xc2']
545,Biography|Drama|Family|History|Sport,[u'Secretariat\xc2']
546,Biography|Drama|Family|Musical|Romance,[u'The Sound of Music\xc2']
547,Biography|Drama|Family|Sport,[u'Soul Surfer\xc2']
548,Biography|Drama|Fantasy|History,[u'Bathory: Countess of Blood\xc2']
549,Biography|Drama|History,"[u'Nixon\xc2' u'Mandela: Long Walk to Freedom\xc2'
 u'The Color of Freedom\xc2' u'Cry Freedom\xc2' u'W.\xc2'
 u""Schindler's List\xc2"" u'The Last Emperor\xc2' u'Elizabeth\xc2'
 u'The 33\xc2' u'Gandhi\xc2' u'Son of God\xc2' u'12 Years a Slave\xc2'
 u'Selma\xc2' u'Milk\xc2' u'The Greatest Story Ever Told\xc2'
 u'One Night with the King\xc2' u'Ramanujan\xc2' u'Winnie Mandela\xc2'
 u'The Iron Lady\xc2' u'Catch a Fire\xc2' u'Mr. Turner\xc2'
 u'Woman in Gold\xc2' u'The Visual Bible: The Gospel of John\xc2'
 u'Good Night, and Good Luck.\xc2' u'Gandhi, My Father\xc2'
 u'A Man for All Seasons\xc2']"
550,Biography|Drama|History|Music,[u'Amadeus\xc2']
551,Biography|Drama|History|Musical,[u'Evita\xc2']
552,Biography|Drama|History|Romance,"[u'Cleopatra\xc2' u'The Other Boleyn Girl\xc2' u'Marie Antoinette\xc2'
 u'Malcolm X\xc2' u'The Young Victoria\xc2' u'Reds\xc2'
 u'The New World\xc2' u'The Duchess\xc2' u""The King's Speech\xc2""
 u'Jefferson in Paris\xc2' u'Quo Vadis\xc2']"
553,Biography|Drama|History|Sport,[u'Invictus\xc2' u'Miracle\xc2']
554,Biography|Drama|History|Thriller,[u'Argo\xc2' u'The Last King of Scotland\xc2']
555,Biography|Drama|History|Thriller|War,[u'A Mighty Heart\xc2']
556,Biography|Drama|History|War,"[u'Braveheart\xc2' u'Lincoln\xc2' u'Elizabeth: The Golden Age\xc2'
 u'Lion of the Desert\xc2' u'Kundun\xc2' u'Downfall\xc2']"
557,Biography|Drama|Music,"[u'The Soloist\xc2' u'Ray\xc2' u'Get on Up\xc2' u'Selena\xc2'
 u""I'm Not There.\xc2"" u""What's Love Got to Do with It\xc2""
 u'Cadillac Records\xc2' u'Copying Beethoven\xc2' u'The Runaways\xc2'
 u'La Bamba\xc2' u'Control\xc2' u'Day One\xc2' u'Nowhere Boy\xc2']"
558,Biography|Drama|Music|Musical,"[u'Jersey Boys\xc2' u'The Doors\xc2' u'Beyond the Sea\xc2'
 u""Coal Miner's Daughter\xc2"" u'De-Lovely\xc2']"
559,Biography|Drama|Music|Romance,"[u'Walk the Line\xc2' u""Mao's Last Dancer\xc2"" u'Shine\xc2'
 u""Mozart's Sister\xc2""]"
560,Biography|Drama|Romance,"[u'Julie & Julia\xc2' u'Big Miracle\xc2' u'Out of Africa\xc2'
 u'Miss Potter\xc2' u'Grace of Monaco\xc2' u'Shadowlands\xc2'
 u'The Last Station\xc2' u'Fur: An Imaginary Portrait of Diane Arbus\xc2'
 u'Becoming Jane\xc2' u'The Theory of Everything\xc2'
 u'The Sea Inside\xc2' u'Frida\xc2' u'Girl with a Pearl Earring\xc2'
 u'Bright Star\xc2' u'Freeheld\xc2' u'Iris\xc2' u'Fruitvale Station\xc2']"
561,Biography|Drama|Romance|Sport,"[u'Against the Ropes\xc2' u'Bobby Jones: Stroke of Genius\xc2'
 u'Prefontaine\xc2']"
562,Biography|Drama|Romance|War,[u'The Railway Man\xc2' u'Aimee & Jaguar\xc2']
563,Biography|Drama|Romance|Western,[u'Pat Garrett & Billy the Kid\xc2']
564,Biography|Drama|Sport,"[u'Ali\xc2' u'Cinderella Man\xc2' u'Moneyball\xc2' u'42\xc2'
 u'The Hurricane\xc2' u'The Express\xc2' u'The Blind Side\xc2'
 u'Radio\xc2' u'Concussion\xc2' u'Remember the Titans\xc2'
 u'Glory Road\xc2' u'Million Dollar Arm\xc2' u'Lords of Dogtown\xc2'
 u""The World's Fastest Indian\xc2"" u'Without Limits\xc2'
 u'Chasing Mavericks\xc2' u'Courage\xc2' u'Raging Bull\xc2'
 u'McFarland, USA\xc2' u'The Fighter\xc2' u'Gracie\xc2'
 u'The Rocket: The Legend of Rocket Richard\xc2' u'The Damned United\xc2'
 u'The 5th Quarter\xc2' u'Chariots of Fire\xc2' u'Race\xc2']"
565,Biography|Drama|Sport|War,[u'Unbroken\xc2']
